origin,type
DDC,medium_airport
LBL,medium_airport
JST,medium_airport
JLN,medium_airport
HYS,medium_airport
GCC,medium_airport
MEI,medium_airport
PIB,medium_airport
LAR,medium_airport
FOD,medium_airport
MCW,medium_airport
PRC,medium_airport
DEC,medium_airport
RKS,medium_airport
RIW,medium_airport
VCT,medium_airport
SLN,medium_airport
SUX,medium_airport
COD,medium_airport
CYS,medium_airport
HOB,medium_airport
LNK,medium_airport
BIH,medium_airport
OTH,medium_airport
SPN,medium_airport
ADK,medium_airport
SMX,medium_airport
