"YEAR","MONTH","DAY","WEEK","DATE","MKT_AIRLINE","MKT_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN_IATA","ORIGIN_CITY","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST_IATA","DEST_CITY","SCH_DEP_TIME","ACT_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","SCH_ARR_TIME","ACT_ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","SCH_DURATION","ACT_DURATION","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","TOTAL_ADD_GTIME","ORIGIN_TYPE","ORIGIN_ELEV","ORIGIN_TZ","DEST_TYPE","DEST_ELEV","DEST_TZ","SCH_DEP_TIME_UTC","ACT_DEP_TIME_UTC","SCH_ARR_TIME_UTC","ACT_ARR_TIME_UTC"
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1010,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",15016,1501606,31123,"STL","St. Louis, MO","2114","2214",60,60,14,"2228","2340",8,"2300","2348",48,0,NA,106,94,72,550,48,0,0,0,0,NA,"large_airport",607,"America/Chicago","large_airport",618,"America/Chicago",2024-05-02 02:14:00,2024-05-02 03:14:00,2024-05-02 04:00:00,2024-05-02 04:48:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1011,11057,1105703,31057,"CLT","Charlotte, NC",13303,1330303,32467,"MIA","Miami, FL","1025","1021",-4,0,23,"1044","1220",9,"1230","1229",-1,0,NA,125,128,96,650,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",8,"America/New_York",2024-05-01 14:25:00,2024-05-01 14:21:00,2024-05-01 16:30:00,2024-05-01 16:29:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1014,14843,1484306,34819,"SJU","San Juan, PR",13303,1330303,32467,"MIA","Miami, FL","0645","0644",-1,0,15,"0659","0924",7,"0940","0931",-9,0,NA,175,167,145,1045,NA,NA,NA,NA,NA,NA,"large_airport",9,"America/Puerto_Rico","large_airport",8,"America/New_York",2024-05-01 10:45:00,2024-05-01 10:44:00,2024-05-01 13:40:00,2024-05-01 13:31:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1017,12478,1247805,31703,"JFK","New York, NY",13303,1330303,32467,"MIA","Miami, FL","0525","0530",5,5,20,"0550","0821",13,"0838","0834",-4,0,NA,193,184,151,1089,NA,NA,NA,NA,NA,NA,"large_airport",13,"America/New_York","large_airport",8,"America/New_York",2024-05-01 09:25:00,2024-05-01 09:30:00,2024-05-01 12:38:00,2024-05-01 12:34:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1019,14831,1483106,32457,"SJC","San Jose, CA",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","0610","0607",-3,0,24,"0631","1121",7,"1154","1128",-26,0,NA,224,201,170,1438,NA,NA,NA,NA,NA,NA,"large_airport",62,"America/Los_Angeles","large_airport",607,"America/Chicago",2024-05-01 13:10:00,2024-05-01 13:07:00,2024-05-01 16:54:00,2024-05-01 16:28:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",102,12173,1217305,32134,"HNL","Honolulu, HI",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","1900","1859",-1,0,15,"1914","0639",11,"0709","0650",-19,0,NA,429,411,385,3784,NA,NA,NA,NA,NA,NA,"large_airport",13,"Pacific/Honolulu","large_airport",607,"America/Chicago",2024-05-02 05:00:00,2024-05-02 04:59:00,2024-05-02 12:09:00,2024-05-02 11:50:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1020,11433,1143302,31295,"DTW","Detroit, MI",13303,1330303,32467,"MIA","Miami, FL","0600","0555",-5,0,15,"0610","0837",26,"0910","0903",-7,0,NA,190,188,147,1145,NA,NA,NA,NA,NA,NA,"large_airport",645,"America/Detroit","large_airport",8,"America/New_York",2024-05-01 10:00:00,2024-05-01 09:55:00,2024-05-01 13:10:00,2024-05-01 13:03:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1021,12892,1289208,32575,"LAX","Los Angeles, CA",13930,1393008,30977,"ORD","Chicago, IL","0600","0557",-3,0,13,"0610","1128",14,"1210","1142",-28,0,NA,250,225,198,1744,NA,NA,NA,NA,NA,NA,"large_airport",125,"America/Los_Angeles","large_airport",680,"America/Chicago",2024-05-01 13:00:00,2024-05-01 12:57:00,2024-05-01 17:10:00,2024-05-01 16:42:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1023,12953,1295304,31703,"LGA","New York, NY",11057,1105703,31057,"CLT","Charlotte, NC","0800","0758",-2,0,25,"0823","0953",11,"1005","1004",-1,0,NA,125,126,90,544,NA,NA,NA,NA,NA,NA,"large_airport",21,"America/New_York","large_airport",748,"America/New_York",2024-05-01 12:00:00,2024-05-01 11:58:00,2024-05-01 14:05:00,2024-05-01 14:04:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1024,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",10561,1056103,30561,"BFL","Bakersfield, CA","1941","1940",-1,0,18,"1958","2109",8,"2102","2117",15,0,NA,201,217,191,1271,0,0,15,0,0,NA,"large_airport",607,"America/Chicago","medium_airport",510,"America/Los_Angeles",2024-05-02 00:41:00,2024-05-02 00:40:00,2024-05-02 04:02:00,2024-05-02 04:17:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1025,15376,1537604,30436,"TUS","Tucson, AZ",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","0615","0619",4,4,16,"0635","1017",17,"1026","1034",8,0,NA,131,135,102,813,NA,NA,NA,NA,NA,NA,"medium_airport",2643,"America/Phoenix","large_airport",607,"America/Chicago",2024-05-01 13:15:00,2024-05-01 13:19:00,2024-05-01 15:26:00,2024-05-01 15:34:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1029,11057,1105703,31057,"CLT","Charlotte, NC",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","2232","2227",-5,0,15,"2242","2347",13,"0026","2400",-26,0,NA,174,153,125,936,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",607,"America/Chicago",2024-05-02 02:32:00,2024-05-02 02:27:00,2024-05-02 05:26:00,2024-05-02 05:00:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",103,14771,1477104,32457,"SFO","San Francisco, CA",12892,1289208,32575,"LAX","Los Angeles, CA","0600","0606",6,6,28,"0634","0729",10,"0731","0739",8,0,NA,91,93,55,337,NA,NA,NA,NA,NA,NA,"large_airport",13,"America/Los_Angeles","large_airport",125,"America/Los_Angeles",2024-05-01 13:00:00,2024-05-01 13:06:00,2024-05-01 14:31:00,2024-05-01 14:39:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1031,11057,1105703,31057,"CLT","Charlotte, NC",13303,1330303,32467,"MIA","Miami, FL","2035","2042",7,7,20,"2102","2235",21,"2244","2256",12,0,NA,129,134,93,650,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",8,"America/New_York",2024-05-02 00:35:00,2024-05-02 00:42:00,2024-05-02 02:44:00,2024-05-02 02:56:00
